note_id,guid,model,old_decks_for_missing_cards,note_exists_in_newer_backup,fields_preview
1778212762984,ghK}&Uz|&~,saCloze+++,Lightning mode 2026-05-08 19-11-19,False,An {{c1::arterialized}} venous waveform in a vein suggests {{c2::an arteriovenous fistula}}. |
1778212762987,PHPJ0;h!oS,saCloze+++,Lightning mode 2026-05-08 19-11-19,False,"Proximal to an AV fistula, the feeding artery waveform may show {{c1::high-flow, low-resistance arterial flow with increased antegrade diastolic flow}} rather than the expected {{c2::high-resistance}} peripheral arterial waveform. |"
1778212762990,N.s?6!)s5Q,saCloze+++,Lightning mode 2026-05-08 19-11-19,False,"Distal to an AV fistula, the native artery may show {{c1::retrograde diastolic flow}} due to {{c2::steal into the low-resistance fistula}}. |"
1778212762993,xG5=4=76hO,saCloze+++,Lightning mode 2026-05-08 19-11-19,False,A significant postprocedural AV fistula may be managed with {{c1::a covered stent}}. |
1778212762995,"rQ,Lt+2hu$",saCloze+++,Lightning mode 2026-05-08 19-11-19,False,"A small, recent, asymptomatic postprocedural AV fistula may be managed with {{c1::conservative follow-up}}. |"
1778212762997,D9tk)a4-ix,saCloze+++,Lightning mode 2026-05-08 19-11-19,False,"Direct Doppler criteria for renal artery stenosis include PSV {{c1::greater than 200}} cm/s, {{c4::renal artery-to-aorta}} ratio {{c2::greater than 3.5:1}}, and {{c3::spectral broadening}} from turbulence. |"
1778212763002,"i<,i~h+4&B",saCloze+++,Lightning mode 2026-05-08 19-11-19,False,"Indirect downstream findings of renal artery stenosis include {{c1::tardus parvus waveform}}, {{c2::delayed systolic acceleration}}, and/or {{c3::post-stenotic low-resistance waveform}}. |"
1778212763006,q[OTI|SV!S,saCloze+++,Lightning mode 2026-05-08 19-11-19,False,{{c2::Delayed systolic acceleration}} in renal artery stenosis means acceleration time is {{c1::greater than 70}} milliseconds. |
1778212763009,bewT}VisO2,saCloze+++,Lightning mode 2026-05-08 19-11-19,False,"In renal artery fibromuscular dysplasia, stenoses are often {{c1::not ostial}}, so PSV may be normal at the sampled location despite downstream {{c2::tardus parvus / delayed acceleration}}. |"
1778212763012,"dKoHh7XA1,",saCloze+++,Lightning mode 2026-05-08 19-11-19,False,{{c2::Echogenic}} material on ultrasound in the main portal vein indicates {{c1::portal vein thrombus}}. |
1778212763015,"Agz,F_ZN!l",saCloze+++,Lightning mode 2026-05-08 19-11-19,False,"Untreated chronic portal vein thrombosis can progress to {{c1::cavernous transformation}}, with a shrunken portal vein and collateral cluster. |"
1778212763017,PXJldKz~t^,saCloze+++,Lightning mode 2026-05-08 19-11-19,False,Do not call portal hypertension based on portal vein size until the portal vein is {{c1::greater than 1.5 cm}}. |
1778212763019,b8A88b^fKD,saCloze+++,Lightning mode 2026-05-08 19-11-19,False,"If the apparent portal vein is {{c1::less than 7}} millimeters, question whether it is truly the portal vein and consider {{c2::cavernous transformation}}. |"
1778212763022,IPHx!?kZoN,saCloze+++,Lightning mode 2026-05-08 19-11-19,False,{{c2::Doppler flow}} within portal vein thrombus helps distinguish {{c1::tumor thrombus}} from {{c1::bland thrombus}}. |
1778212763025,Osaf:MVTzr,saCloze+++,Lightning mode 2026-05-08 19-11-19,False,Complete reversal of flow in the vertebral artery indicates {{c1::severe subclavian steal physiology}}. |
1778212763027,JA`6&MV`I=,saCloze+++,Lightning mode 2026-05-08 19-11-19,False,Multiple hyperechoic liver lesions with a hypoechoic halo are suspicious for {{c1::metastases}} rather than {{c1::hemangiomas}}. |
1778212763029,nOLA#+Zk|!,saCloze+++,Lightning mode 2026-05-08 19-11-19,False,"Echogenic liver metastases classically suggest hypervascular metastases, especially {{c1::neuroendocrine/carcinoid, RCC, melanoma, thyroid, and choriocarcinoma}}. |"
1778212763031,Ap6$TT&1v@,saCloze+++,Lightning mode 2026-05-08 19-11-19,False,Melanoma liver metastases may be echogenic because of {{c1::hemorrhage}}. |
1778212763033,f)d(*qDwk{,saCloze+++,Lightning mode 2026-05-08 19-11-19,False,Large echogenic vascular cannonball liver metastases should make you think of {{c1::neuroendocrine tumor}}. |
1778212763035,FiVTnVf`k5,saCloze+++,Lightning mode 2026-05-08 19-11-19,False,"Renal {{c2::cortical}} nephrocalcinosis is classically associated with {{c1::renal cortical necrosis, chronic glomerulonephritis, Alport syndrome, and oxalosis (both cortical and medullary nephrocalcinosis)}}. |"
1778212763038,rL_a)8+r5n,saCloze+++,Lightning mode 2026-05-08 19-11-19,False,A rough ultrasound rule for hepatic steatosis is liver echogenicity about {{c1::40}}% greater than kidney. |
1778212763040,EO-}/|=woo,saCloze+++,Lightning mode 2026-05-08 19-11-19,False,"Increased sound beam attenuation, especially {{c2::loss of diaphragm visualization}}, suggests {{c1::severe hepatic steatosis}}. |"
1778212763043,P<v035t7C[,saCloze+++,Lightning mode 2026-05-08 19-11-19,False,The classic ultrasound finding of {{c2::moderate}} hepatic steatosis is {{c1::decreased conspicuity of portal tracts}}. |
1778212763046,fwOtR4<0ow,saCloze+++,Lightning mode 2026-05-08 19-11-19,False,Focal fatty sparing appears as a {{c1::wedge-shaped hypoechoic area}} against an echogenic fatty liver. |
1778212763048,rZ*eK9avk0,saCloze+++,Lightning mode 2026-05-08 19-11-19,False,Multiple intrahepatic ductal stones suggest {{c1::recurrent pyogenic cholangitis (but keep Caroli disease in mind)}}. |
1778212763050,wSL`VIB~cF,saCloze+++,Lightning mode 2026-05-08 19-11-19,False,{{c2::Recurrent pyogenic cholangitis}} was formerly called {{c1::Oriental cholangiohepatitis/cholangitis}} |
1778212763053,v%UE?i8j<#,saCloze+++,Lightning mode 2026-05-08 19-11-19,False,"Diffuse echogenicity of a transplant kidney differential includes {{c1::rejection, ATN, calcineurin inhibitor toxicity, and renal vein thrombosis.}} |"
1778212763055,wNiPvQoW9Z,saCloze+++,Lightning mode 2026-05-08 19-11-19,False,"Per Dr. Lockhart, increased transplant renal resistive index cutoff is {{c1::0.75}}. |"
1778212763057,E+l9M2iP|l,saCloze+++,Lightning mode 2026-05-08 19-11-19,False,An testicular/epididymal epidermoid cyst is treated by {{c1::enucleation}}. |
1778212763059,O7Z.oe4Dp?,saCloze+++,Lightning mode 2026-05-08 19-11-19,False,What is a common symptom experienced with a sperm granuloma? {{c1::Pain}} |
1778212763061,u6Z>km97oZ,saCloze+++,Lightning mode 2026-05-08 19-11-19,False,Sarcoid testicular involvement can appear as {{c1::multiple bilateral 2-3 mm hypoechoic nodules}}. |
1778212763063,PmULC<EzaE,saCloze+++,Lightning mode 2026-05-08 19-11-19,False,The most common congenital adrenal hyperplasia enzyme deficiency is {{c1::21-hydroxylase deficiency}}. |
1778212763065,sJ-Nam(<uO,saCloze+++,Lightning mode 2026-05-08 19-11-19,False,"Cutaneous/subcutaneous echogenic shadowing foci on ultrasound suggest {{c1::calcinosis cutis, classically associated with dermatomyositis or systemic sclerosis/scleroderma}}. |"
1778212763067,kXg>3y5Q/P,saCloze+++,Lightning mode 2026-05-08 19-11-19,False,A relatively homogeneous hypervascular solid hypoechoic testicular mass in a man in his 20s favors {{c1::seminoma}}. |
1778212763069,c0Ybd=*I61,saCloze+++,Lightning mode 2026-05-08 19-11-19,False,A hypervascular solid hypoechoic testicular mass in an older man favors {{c1::lymphoma or metastases}}. |
1778212763071,pp_5TKT5+M,saCloze+++,Lightning mode 2026-05-08 19-11-19,False,Epididymo-orchitis is usually from {{c1::ascending infection}}. |
1778212763073,Eq5CaOM[HJ,saCloze+++,Lightning mode 2026-05-08 19-11-19,False,"In epididymo-orchitis, the {{c1::epididymis}} is affected first. |"
1778212763075,"IpP-OqO-,]",saCloze+++,Lightning mode 2026-05-08 19-11-19,False,About {{c1::20}}% of epididymitis cases have associated orchitis. |
1778212763077,cm*o7kF{yw,saCloze+++,Lightning mode 2026-05-08 19-11-19,False,Isolated orchitis without epididymitis suggests {{c1::mumps or TB}}. |
1778212763079,IXNS}}abL%,saCloze+++,Lightning mode 2026-05-08 18-30-45 ; Lightning mode 2026-05-08 19-11-19,False,Testicular torsion salvage is about {{c1::80}}% if treated within {{c2::6 hours}}. |
1778212763082,PXuknt}Zum,saCloze+++,Lightning mode 2026-05-08 18-30-45,False,Testicular torsion salvage is about {{c1::20}}% if treated after {{c2::12 hours}}. |
1778212763085,x?u>!S((FD,saCloze+++,Lightning mode 2026-05-08 18-30-45,True,Ultrasound clue for {{c2::horseshoe kidney}}: kidney tissue seen {{c1::anterior to the aorta}}. |
1778212763088,PI~*%}%H8/,saCloze+++,Lightning mode 2026-05-08 18-30-45,True,{{c3::Deflux}} injection is used in children with {{c1::vesicoureteral reflux to bulk up the UVJ and prevent reflux}}. |
1778212763091,q|QjWK>{U_,saCloze+++,Lightning mode 2026-05-08 18-30-45,False,A chronically torsed nonviable ovary can mimic {{c1::hemorrhagic cyst or cystadenoma}}. |
1778267845298,uCe?:Cp2`1,saCloze++,Lightning mode 2026-05-08 18-30-45,False,"Per Dr. Lockhart, the postmenopausal without bleeding endometrial thickness cutoff is {{c1::12 mm}}. |"
1778267845300,qFrV-Ze|0:,saCloze++,Lightning mode 2026-05-08 18-30-45,False,"Per Dr. Lockhart, the postmenopausal on tamoxifen without bleeding endometrial thickness cutoff is {{c1::8 mm}}. |"
1778267845301,"CHkLCP+D,i",saCloze++,Lightning mode 2026-05-08 18-30-45,False,"Per Dr. Lockhart, the premenopausal endometrial thickness upper limit is {{c1::15 mm}}. |"
1778267845302,qVEpL?@OfC,saCloze++,Lightning mode 2026-05-08 18-30-45,False,Junctional zone thickness {{c1::greater than or equal to 12 mm}} supports adenomyosis. |
1778267845304,"q0D[E,zuk&",saCloze++,Lightning mode 2026-05-08 18-30-45,True,{{c1::T1 hyperintensity}} is the key MRI finding that suggests a dilated fallopian tube represents {{c2::hematosalpinx}}. |
1778267845305,P%d>@:2SOO,saCloze++,Lightning mode 2026-05-08 18-30-45,True,{{c1::Inflammatory change and diffusion restriction}} are the key MRI findings that suggest a dilated fallopian tube represents {{c2::pyosalpinx}}. |
1778267845306,pCv_{!Mh!J,saCloze++,Lightning mode 2026-05-08 18-30-45,False,"Parathyroid adenoma differential on ultrasound includes {{c1::thyroid nodule, lymph node, and parathyroid carcinoma if very large/lobular/infiltrative}}. |"
1778267845307,is%l!LNZk.,saCloze++,Lightning mode 2026-05-08 18-30-45,False,"Parathyroid adenoma demonstrates {{c1::hypoechogenicity, no fatty hilum, prominent vascularity, and a polar feeding vessel::what key findings on ultrasound?}} |"
1778267845310,"Nv,Q,Yxl&O",saCloze++,Lightning mode 2026-05-08 18-30-45,False,"Do not call small bowel intussusception transient if there is {{c1::obstruction}}, a {{c2::visible lead point}}, or length {{c3::>5 cm}}. |"
1778267845312,g7LZaz_dP@,saCloze++,Lightning mode 2026-05-08 18-30-45,False,"{{c2::Fibrofatty proliferation}} around chronically inflamed bowel can {{c1::displace other loops}}, making the diseased loop more conspicuous. |"
1778267845314,Kl8&tT)$zT,saCloze++,Lightning mode 2026-05-08 18-30-45,False,Numerous tiny outpouchings only along the mesenteric border at the splenic flexure suggest {{c1::traction/retraction diverticula}}. |
1778267845317,q%WjA]w|C>,saCloze++,Lightning mode 2026-05-08 18-30-45,True,Transition at the splenic flexure raises concern for {{c1::ischemia}} because it is a {{c2::watershed zone}}. |
1778267845322,mh*0~2&~$E,saCloze++,Lightning mode 2026-05-08 18-30-45,False,Benign ulcer clue on fluoroscopy: folds go {{c1::directly to the crater/surface}}. |
1778267845324,I1PclSKU?7,saCloze++,Lightning mode 2026-05-08 18-30-45,False,Bowler hat diverticulum: a coated {{c1::neck}} plus coated {{c2::outer surface}} can mimic a polyp. |
1778267845328,O.3JIC|8^F,saCloze++,Lightning mode 2026-05-08 18-30-45,False,"Fasting for more than 24 hours before HIDA can {{c1::concentrate gallbladder bile and prevent radiotracer entry, causing false-positive gallbladder nonvisualization.}} |"
1778267845329,L6ynURR5c1,saCloze++,Lightning mode 2026-05-08 18-30-45,True,"Despite being an inhaled gas tracer, {{c2::Xenon-133}} can demonstrate hepatic activity in patients with {{c1::hepatic steatosis}}. |"
1778269512592,yvOn{}YLjd,saCloze+++,Lightning mode 2026-05-08 18-30-45,True,"In thyroid tracer handling, {{c1::trapping}} means {{c2::thyroid follicular cells pull tracer into the cell through the sodium-iodide symporter}}. |"
1778269512595,OxtGX7v*$u,saCloze+++,Lightning mode 2026-05-08 18-30-45,False,"In thyroid iodine tracer handling, {{c2::organification}} means {{c1::iodine tracer is chemically incorporated into thyroid hormone precursors on thyroglobulin}}. |"
1778269512598,kCD&;w|?|U,saCloze+++,Lightning mode 2026-05-08 18-30-45,True,{{c3::Organification}} of {{c4::iodine}} on {{c2::thyroglobulin}} eventually forms the thyroid hormones {{c1::T3 and T4}}. |
1778269512603,iE&sWUpMq_,saCloze+++,Lightning mode 2026-05-08 18-30-45,False,"{{c3::Tc-99m pertechnetate}} is taken up by thyroid tissue because it is {{c1::trapped by the sodium-iodide symporter like iodide}}, but it is {{c2::not organified into thyroid hormone}}. |"
1778269512609,"eV$Fg,A|=y",saCloze+++,Lightning mode 2026-05-08 18-30-45,False,"Among Tc-99m pertechnetate, I-123 sodium iodide, and I-131 sodium iodide, the tracer(s) that is/are not organified by thyroid follicular cells is {{c1::Tc-99m pertechnetate}}. |"
1778269512611,C-0K5qf3&w,saCloze+++,Lightning mode 2026-05-08 18-30-45,False,"Among a dose calibrator, well counter, thyroid uptake probe, and gamma camera, the only gas-filled ionization chamber is the {{c1::dose calibrator}}. |"
1778269512613,ug/wkNNI;3,saCloze+++,Lightning mode 2026-05-08 18-30-45,False,"In nuclear medicine, the device used to measure vial or syringe activity before injection is the {{c1::dose calibrator}}. |"
1778269512615,byC?Pbn;8g,saCloze+++,Lightning mode 2026-05-08 18-30-45,False,"In nuclear medicine, the device used to measure residual syringe activity after injection is the {{c1::dose calibrator}}. |"
1778269512617,M1hD_B5Mk?,saCloze+++,Lightning mode 2026-05-08 18-30-45,False,"In nuclear medicine, the device used for radioactive wipe tests is the {{c1::well counter}}. |"
1778269512619,v~a#;Vmb.q,saCloze+++,Lightning mode 2026-05-08 18-30-45,False,"In nuclear medicine, the device used to count tiny blood, urine, or wipe samples is the {{c1::well counter}}. |"
1778269512621,kfErhjFmqv,saCloze+++,Lightning mode 2026-05-08 18-30-45,False,"In nuclear medicine, the device used to measure thyroid radioiodine uptake at the neck is the {{c1::thyroid uptake probe}}. |"
1778269512623,Ovwmzp@CVQ,saCloze+++,Lightning mode 2026-05-08 18-30-45,False,"In nuclear medicine, the device used to create planar patient images is the {{c1::gamma camera}}. |"
1778269512625,qYM2Bh/$^P,saCloze+++,Lightning mode 2026-05-08 18-30-45,False,The nuclear medicine device that answers the question of how much activity am I about to inject is the {{c1::dose calibrator}}. |
1778269512627,td]2w}2Y(e,saCloze+++,Lightning mode 2026-05-08 18-30-45,False,The nuclear medicine device that answers the question of whether a wipe is contaminated is the {{c1::well counter}}. |
1778269512629,vR1yOL^&vs,saCloze+++,Lightning mode 2026-05-08 18-30-45,False,The nuclear medicine device that answers the question of what percent radioiodine uptake is in the thyroid is the {{c1::thyroid uptake probe}}. |
1778269512631,JL.P/$!Xl@,saCloze+++,Lightning mode 2026-05-08 18-30-45,False,The nuclear medicine device that answers the question of where the radiotracer went in the patient is the {{c1::gamma camera}}. |
1778269512633,tTlt`=J@:%,saCloze+++,Lightning mode 2026-05-08 18-30-45,False,{{c2::DOTATATE}} is the high-yield tracer to associate with {{c1::neuroendocrine tumors::what pathology}}. |
1778269512636,kOR@C;#F0],saCloze+++,Lightning mode 2026-05-08 18-30-45,False,"{{c2::MIBG}} is the high-yield tracer to associate with {{c1::pheochromocytoma, paraganglioma, and neuroblastoma::what pathology}}. |"
1778269512639,pq+FxGkd-U,saCloze+++,Lightning mode 2026-05-08 18-30-45,False,{{c2::PSMA}} is the high-yield tracer to associate with {{c1::prostate cancer::what pathology}}. |
1778269512642,LXG=^(0r;k,saCloze+++,Lightning mode 2026-05-08 18-30-45,False,"{{c2::FDG}} is the high-yield tracer to associate with {{c1::glucose-avid malignancy, infection, and inflammation::what pathology}}. |"
1778269512645,Nb&}R@i`T`,saCloze+++,Lightning mode 2026-05-08 18-30-45,False,{{c2::FES}} is the high-yield tracer to associate with {{c1::estrogen receptor-positive breast cancer::what pathology}}. |
1778269512648,"CjHI-R>J,g",saCloze+++,Lightning mode 2026-05-08 18-30-45,False,{{c2::Tc-99m MAA}} is the high-yield tracer to associate with {{c1::lung perfusion imaging::what pathology}}. |
1778269512651,Nqr6la>RvG,saCloze+++,Lightning mode 2026-05-08 18-30-45,False,"{{c2::Tc-99m pertechnetate}} is the high-yield tracer to associate with {{c1::thyroid trapping, Meckel scan, and salivary imaging::what pathology}}. |"
1778269512654,iSKV}9/uQF,saCloze+++,Lightning mode 2026-05-08 18-30-45,False,{{c2::I-123 and I-131 sodium iodide}} are high-yield tracers to associate with {{c1::thyroid iodine handling::what pathology}}. |
1778269512657,f4moSM:ip[,saCloze+++,Lightning mode 2026-05-08 18-30-45,False,{{c2::Sestamibi}} is the high-yield tracer to associate with {{c1::parathyroid adenoma and myocardial perfusion imaging::what pathology}}. |
1778269512660,ege>fm:br[,saCloze+++,Lightning mode 2026-05-08 18-30-45,False,{{c2::Tc-99m PYP}} is the high-yield tracer to associate with {{c1::ATTR (transthyretin) cardiac amyloidosis::what pathology}}. |
1778269512663,Npq|=XNCB4,saCloze+++,Lightning mode 2026-05-08 18-30-45,False,"Among common nuclear medicine brain tracers, the dopamine transporter tracer used for Parkinsonian syndromes versus essential tremor is {{c1::DaTscan and I-123 ioflupane}}. |"
1778269512665,HW&Rq-IGmY,saCloze+++,Lightning mode 2026-05-08 18-30-45,False,The detector medium in a nuclear medicine dose calibrator is {{c1::pressurized argon gas in an ionization chamber}}. |
1778269512667,"AJ<m7u{C,;",saCloze+++,Lightning mode 2026-05-08 18-30-45,False,The detector medium in a nuclear medicine well counter is a {{c1::NaI(Tl) scintillation crystal}}. |
1778269512669,M$B7KRvD;O,saCloze+++,Lightning mode 2026-05-08 18-30-45,False,The detector medium in a nuclear medicine thyroid uptake probe is a {{c1::NaI(Tl) scintillation crystal}}. |
1778269512671,r/MO^F)b+m,saCloze+++,Lightning mode 2026-05-08 18-30-45,False,The detector medium in a nuclear medicine gamma camera is a {{c1::NaI(Tl) scintillation crystal}}. |
